dataset  , task          , lambda_prune, lambda_div, prune_threshold, corr_threshold, full_metric        , full_r2            , full_f1           , full_auc          , pre_pruned_metric  , pre_r2             , pre_f1            , pre_auc           , final_pruned_metric, final_r2           , final_f1          , final_auc         , initial_main_loss , initial_prune_loss, initial_div_loss    , initial_total_loss, final_main_loss    , final_prune_loss   , final_div_loss      , final_total_loss   , full_size, shap_size, pruned_weighted_size, final_size
kin40k   , regression    ,          0.0,        0.0,            0.01,           0.93,  0.875318752125869 , 0.2388550487661938 ,                   ,                   ,  0.8721407532042925, 0.24437195714881277,                   ,                   ,  0.8721407532042925, 0.24437195714881277,                   ,                   , 1.2748632431030273, 0.8506419062614441, 0.029235227033495903, 1.2748632431030273, 0.6095638871192932 , 0.9197124242782593 , 0.019438154995441437, 0.6095638871192932 ,       200,        60,                   60,         60
kin40k   , regression    ,          0.0,        0.5,            0.01,           0.93,  0.875318752125869 , 0.2388550487661938 ,                   ,                   ,  0.8721407532042925, 0.24437195714881277,                   ,                   ,  0.8721407532042925, 0.24437195714881277,                   ,                   , 1.3327120542526245, 0.8676022887229919, 0.026517363265156746, 1.3459707498550415, 0.609701931476593  , 0.9213459491729736 , 0.019142283126711845, 0.6192730665206909 ,       200,        60,                   60,         60
kin40k   , regression    ,          1.0,        0.0,            0.01,           0.93,  0.875318752125869 , 0.2388550487661938 ,                   ,                   ,  0.8721407532042925, 0.24437195714881277,                   ,                   ,  0.7912035849950477, 0.3781131140314714 ,                   ,                   , 1.3341087102890015, 0.8421132564544678, 0.03676602989435196 , 2.1762218475341797, 0.8021150827407837 , 0.4418434500694275 , 0.20195335149765015 , 1.2439584732055664 ,       200,        60,                   17,         17
kin40k   , regression    ,          1.0,        0.5,            0.01,           0.93,  0.875318752125869 , 0.2388550487661938 ,                   ,                   ,  0.8721407532042925, 0.24437195714881277,                   ,                   ,  0.7978719784613736, 0.36758620978879797,                   ,                   , 1.334519624710083 , 0.8647232055664062, 0.02773911878466606 , 2.2131123542785645, 0.7269485592842102 , 0.5690720677375793 , 0.09715242683887482 , 1.3445968627929688 ,       200,        60,                   28,         28
covertype, classification,          0.0,        0.0,            0.01,           0.92,  0.7559980723555128,                    , 0.7558841931327184, 0.7567609888257323,  0.7459488547882558,                    , 0.7459488547882558, 0.7479272806093245,  0.756253464341338 ,                    , 0.756253464341338 , 0.7580269937699731, 1.548027515411377 , 0.9031866192817688, 0.02907431870698929 , 1.548027515411377 , 0.8597729206085205 , 0.9289408922195435 , 0.024475596845149994, 0.8597729206085205 ,       200,        60,                   59,         44
covertype, classification,          0.0,        0.5,            0.01,           0.92,  0.7559980723555128,                    , 0.7558841931327184, 0.7567609888257323,  0.7459488547882558,                    , 0.7459488547882558, 0.7479272806093245,  0.7533830468203447,                    , 0.7533830468203447, 0.7554192031916224, 1.3231377601623535, 0.9285929799079895, 0.025063924491405487, 1.335669755935669 , 0.8395955562591553 , 0.9606719613075256 , 0.020353738218545914, 0.8497724533081055 ,       200,        60,                   60,         45
covertype, classification,          1.0,        0.0,            0.01,           0.92,  0.7559980723555128,                    , 0.7558841931327184, 0.7567609888257323,  0.7459488547882558,                    , 0.7459488547882558, 0.7479272806093245,  0.7537039554371309,                    , 0.7537039554371309, 0.7583570142728066, 1.9517464637756348, 0.9265151619911194, 0.025718409568071365, 2.8782615661621094, 0.9826109409332275 , 0.48494037985801697, 0.1598081886768341  , 1.467551350593567  ,       200,        60,                    9,          9
covertype, classification,          1.0,        0.5,            0.01,           0.92,  0.7559980723555128,                    , 0.7558841931327184, 0.7567609888257323,  0.7459488547882558,                    , 0.7459488547882558, 0.7479272806093245,  0.7623168155011132,                    , 0.7623168155011132, 0.7677588177200825, 1.4776432514190674, 0.8984062075614929, 0.02896171063184738 , 2.3905303478240967, 0.9359285235404968 , 0.5789653658866882 , 0.10668623447418213 , 1.568237066268921  ,       200,        60,                   13,         13


slice,regression,0.0,0.0,0.01,0.95,8.075623861898922,0.8712326450599454,,,6.507667901954414,0.9163811147508433,,,5.862752974036882,0.9321332892810239,,,0.9418967366218567,0.9205546379089355,0.02505599521100521,0.9418967366218567,0.16031236946582794,0.9541275501251221,0.02049948275089264,0.16031236946582794,200,60,60,56
slice,regression,0.0,1.0,0.01,0.95,8.075623861898922,0.8712326450599454,,,6.507667901954414,0.9163811147508433,,,5.862752974036882,0.9321332892810239,,,1.945205569267273,0.925663411617279,0.02381785586476326,1.9690234661102295,0.16211552917957306,0.9587898850440979,0.019538279622793198,0.18165381252765656,200,60,60,56
slice,regression,1.0,0.0,0.01,0.95,8.075623861898922,0.8712326450599454,,,6.507667901954414,0.9163811147508433,,,5.435536904046702,0.9416637501661514,,,1.1767430305480957,0.9107421636581421,0.026959624141454697,2.0874853134155273,0.2536980211734772,0.5152688026428223,0.18028624355793,0.768966794013977,200,60,19,19
slice,regression,1.0,1.0,0.01,0.95,8.075623861898922,0.8712326450599454,,,6.507667901954414,0.9163811147508433,,,5.763571247001605,0.9344101040806596,,,0.9033107161521912,0.9418429136276245,0.02200368605554104,1.867157220840454,0.22657510638237,0.6363481879234314,0.09121128171682358,0.9541345238685608,200,60,38,38
3droad,regression,0.0,0.0,0.01,0.9,13.172119393242086,0.4897852763761491,,,11.927201198740507,0.5816702405084186,,,11.927201198740507,0.5816702405084186,,,1.239277958869934,0.8733914494514465,0.030143078416585922,1.239277958869934,0.5783767104148865,0.9077955484390259,0.02445107139647007,0.5783767104148865,200,60,60,60
3droad,regression,0.0,1.0,0.01,0.9,13.172119393242086,0.4897852763761491,,,11.927201198740507,0.5816702405084186,,,11.927201198740507,0.5816702405084186,,,1.4490019083023071,0.8751249313354492,0.02703142911195755,1.476033329963684,0.5822086334228516,0.9178762435913086,0.021847037598490715,0.604055643081665,200,60,60,60
3droad,regression,1.0,0.0,0.01,0.9,13.172119393242086,0.4897852763761491,,,11.927201198740507,0.5816702405084186,,,10.581211584656094,0.6707600950849125,,,0.9088938236236572,0.8581101894378662,0.03380294516682625,1.7670040130615234,0.6963351368904114,0.33546003699302673,0.41003239154815674,1.0317951440811157,200,60,7,7
3droad,regression,1.0,1.0,0.01,0.9,13.172119393242086,0.4897852763761491,,,11.927201198740507,0.5816702405084186,,,10.831270238148573,0.655014808648272,,,2.152082920074463,0.8853046298027039,0.02675069309771061,3.064138412475586,0.6355427503585815,0.6031045913696289,0.09114609658718109,1.3297934532165527,200,60,27,27
kin40k,regression,0.0,0.0,0.01,0.93,0.8680958515124892,0.2513647582610985,,,0.8761965316995961,0.23732771375340123,,,0.8652953182277252,0.25618725812931287,,,1.4685783386230469,0.8451430797576904,0.031698379665613174,1.4685783386230469,0.6189289093017578,0.9236974716186523,0.018950162455439568,0.6189289093017578,200,60,60,58
kin40k,regression,0.0,1.0,0.01,0.93,0.8680958515124892,0.2513647582610985,,,0.8761965316995961,0.23732771375340123,,,0.8652953182277252,0.25618725812931287,,,1.5840145349502563,0.8500893712043762,0.03120618313550949,1.6152206659317017,0.6189010739326477,0.9285382032394409,0.01838708482682705,0.6372881531715393,200,60,60,58
